insertion,frequency,insertion,transformed_frequency
e,2566,e,0.2267955981962593
i,1422,i,0.24079561202692445
a,1083,a,0.24785429705624712
s,1033,s,0.24912182554058074
r,934,r,0.25186716203232995
l,793,l,0.25645805050348935
n,728,n,0.2589243870253506
t,681,t,0.2608822387463727
u,656,u,0.26199245306729346
c,613,c,0.264029157988019
h,574,h,0.2660344345985871
o,523,o,0.2689255199194541
p,404,p,0.27728625976008797
d,399,d,0.2777027289480023
m,346,m,0.28255962067080514
g,253,g,0.2938479533056585
',229,',0.29763362082942546
y,227,y,0.29797148250710126
w,174,w,0.30858966285729866
f,129,f,0.3214824496747264
 ,104, ,0.33145142513818565
k,89,k,0.3390531593810996
b,81,b,0.34382160936333256
-,26,-,0.414083244786221
x,16,x,0.4536958096060714
v,15,v,0.4595395509441786
z,8,z,0.5254612271806532
q,3,q,0.6769924925288455
j,2,j,0.7686217868402407
